,Token,Distance,Model,Color,Price,Motor,Body,Structure,Insurance
1017,AZMeXCq9,۱۰۳٬۰۰۰,۱۳۹۵,سفید,۳۷۶٬۰۰۰٬۰۰۰ تومان,سالم,رنگ‌شدگی، در ۲ ناحیه,سالم و پلمپ,۶ ماه
1018,AZMeXRBJ,۲٬۸۰۰,۱۴۰۰,سفید,۴۹۰٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۳ ماه
1019,AZMeyfGR,۱۸۰٬۰۰۰,۱۳۸۹,سفید,۲۶۰٬۰۰۰٬۰۰۰ تومان,سالم,دوررنگ,سالم و پلمپ,۱ ماه
1020,AZMi3q7C,۱۸۱٬۰۰۰,۱۳۹۶,سفید,۳۵۷٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۱۰ ماه
1021,AZMiGl1V,۴۰۰٬۰۰۰,۱۳۸۲,مشکی,۱۸۰٬۰۰۰٬۰۰۰ تومان,سالم,دوررنگ,سالم و پلمپ,۶ ماه
1022,AZMikCMo,۲۰۷٬۰۰۰,۱۳۹۰,سفید,۱۱٬۱۱۱٬۱۱۱ تومان,سالم,خط و خش جزیی,سالم و پلمپ,۴ ماه
1023,AZMike8Y,۲۷٬۰۰۰,۱۳۹۶,سفید,۴۰۵٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۴ ماه
1024,AZMilYRJ,۲۰٬۰۰۰,۱۴۰۰,سفید,۴۷۵٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۸ ماه
1025,AZMinyDz,۱۶۰٬۰۰۰,۱۳۹۶,سفید,۳۹۵٬۰۰۰٬۰۰۰ تومان,سالم,خط و خش جزیی,سالم و پلمپ,۶ ماه
1026,AZMiwp_7,۲۰۰٬۰۰۰,۱۳۸۹,سفید,۳۰۸٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۳ ماه
1027,AZMmXDon,۲۲۳٬۰۰۰,۱۳۸۳,نقره‌ای,۲۱۲٬۰۰۰٬۰۰۰ تومان,تعویض شده,دوررنگ,سالم و پلمپ,۹ ماه
1028,AZMmaFwK,۳۶۱٬۲۱۶,۱۳۸۹,سفید صدفی,۲۷۵٬۰۰۰٬۰۰۰ تومان,سالم,رنگ‌شدگی,سالم و پلمپ,۶ ماه
1029,AZMmxnE8,۱۹۹٬۰۰۰,۱۳۸۴,نقره‌ای,۲۲۸٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۱۱ ماه
1030,AZMqGLsq,۱۰۵٬۰۰۰,۱۳۹۸,سفید,۴۱۰٬۰۰۰٬۰۰۰ تومان,سالم,رنگ‌شدگی,سالم و پلمپ,۴ ماه
1031,AZMqHYYO,۵۵٬۰۰۰,۱۳۹۷,سفید,۳۶۵٬۰۰۰٬۰۰۰ تومان,سالم,رنگ‌شدگی,سالم و پلمپ,۷ ماه
1032,AZMqLYdP,۲۱۸٬۰۰۰,۱۳۸۶,مشکی,۲۵۵٬۰۰۰٬۰۰۰ تومان,سالم,خط و خش جزیی,سالم و پلمپ,۱۱ ماه
1033,AZMqNYtg,۲۴۰٬۰۰۰,۱۳۹۵,سفید,۳۴۵٬۰۰۰٬۰۰۰ تومان,سالم,خط و خش جزیی,سالم و پلمپ,
1034,AZMqag89,۳۱۲٬۰۰۰,۱۳۸۲,نقره‌ای,۲۷۰٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۳ ماه
1035,AZMqj48d,۱۴۹٬۵۰۰,۱۳۸۴,نقره‌ای,۲۵۰٬۰۰۰٬۰۰۰ تومان,سالم,خط و خش جزیی,سالم و پلمپ,۹ ماه
1036,AZMqpWU0,۵۵٬۰۰۰,۱۳۹۸,سفید,۴۲۵٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۸ ماه
1037,AZMsXvnp,۲۲۰٬۰۰۰,۱۳۸۷,نقره‌ای,۲۶۵٬۰۰۰٬۰۰۰ تومان,سالم,رنگ‌شدگی,سالم و پلمپ,۶ ماه
1038,AZMu0-vb,۳۶۳٬۰۰۰,۱۳۸۴,خاکستری,۲۱۹٬۰۰۰٬۰۰۰ تومان,سالم,دوررنگ,سالم و پلمپ,۹ ماه
1039,AZMuDoRz,۲۰۵٬۰۰۰,۱۳۸۸,سفید,۳۰۵٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۴ ماه
1040,AZMuFO8i,۳۰۰٬۰۰۰,۱۳۸۴,سفید,۲۰۰٬۰۰۰٬۰۰۰ تومان,سالم,تمام‌رنگ,سالم و پلمپ,۱ ماه
1041,AZMuwJnB,۲۵۳٬۰۰۰,۱۳۸۸,سفید,۲۵۵٬۰۰۰٬۰۰۰ تومان,سالم,رنگ‌شدگی,سالم و پلمپ,
1042,AZMy1LTv,۵۲٬۰۰۰,۱۳۸۳,نقره‌ای,۱۸۷٬۰۰۰٬۰۰۰ تومان,سالم,دوررنگ,سالم و پلمپ,
1043,AZMyDI1i,۳۰۰٬۰۰۰,۱۳۸۶,خاکستری,۲۵۰٬۰۰۰٬۰۰۰ تومان,سالم,خط و خش جزیی,سالم و پلمپ,۳ ماه
1044,AZMyDKQf,۴۰۰٬۰۰۰,۱۳۸۲,سفید,۱۹۵٬۰۰۰٬۰۰۰ تومان,سالم,دوررنگ,سالم و پلمپ,۸ ماه
1045,AZMyDe3u,۲۱۵٬۰۰۰,۱۳۹۵,سفید,۳۷۰٬۰۰۰٬۰۰۰ تومان,سالم,خط و خش جزیی,سالم و پلمپ,۴ ماه
1046,AZMyXHmf,۲۰۰٬۰۰۰,۱۳۹۱,سفید,۳۱۵٬۰۰۰٬۰۰۰ تومان,سالم,خط و خش جزیی,سالم و پلمپ,۱۱ ماه
1047,AZMybxCE,۱۰۴٬۰۰۰,۱۳۹۵,سفید,۳۵۸٬۰۰۰٬۰۰۰ تومان,سالم,خط و خش جزیی,سالم و پلمپ,۶ ماه
1048,AZMykUFW,۲۶۰٬۰۰۰,۱۳۸۹,خاکستری,۲۵۵٬۰۰۰٬۰۰۰ تومان,سالم,خط و خش جزیی,سالم و پلمپ,۱۰ ماه
1049,AZN-4LB2,۲۲۷٬۰۰۰,۱۳۸۹,سفید,۲۱۵٬۰۰۰٬۰۰۰ تومان,سالم,دوررنگ,سالم و پلمپ,۳ ماه
1050,AZN-4_5q,۱۶۱٬۰۰۰,۱۳۹۶,سفید,۳۵۳٬۰۰۰٬۰۰۰ تومان,سالم,خط و خش جزیی,سالم و پلمپ,۴ ماه
1051,AZN-HUyK,۱۰۰٬۰۰۰,۱۳۹۵,سفید,۳۴۵٬۰۰۰٬۰۰۰ تومان,سالم,خط و خش جزیی,سالم و پلمپ,۹ ماه
1052,AZN-KOZH,۳۰۰٬۰۰۰,۱۳۸۶,خاکستری,۲۸۰٬۰۰۰٬۰۰۰ تومان,سالم,خط و خش جزیی,سالم و پلمپ,۳ ماه
1053,AZN-VhyU,۲۵۰٬۰۰۰,۱۳۸۱,نقره‌ای,۱۵۰٬۰۰۰٬۰۰۰ تومان,سالم,دوررنگ,سالم و پلمپ,۹ ماه
1054,AZN-_NVR,۱۰۵٬۰۰۰,۱۳۹۸,سفید,۴۱۵٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۸ ماه
1055,AZN1RLbb,۶۰٬۰۰۰,۱۳۹۸,سفید,۳۹۰٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۶ ماه
1056,AZN2MAbN,۶۵٬۰۰۰,۱۳۹۷,سفید,۳۸۹٬۰۰۰٬۰۰۰ تومان,سالم,خط و خش جزیی,سالم و پلمپ,۳ ماه
1057,AZN2WPT6,۳۷٬۰۰۰,۱۴۰۰,سفید,۴۴۵٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۴ ماه
1058,AZN2YwXp,۲۴٬۰۰۰,۱۳۹۹,خاکستری,۴۰۵٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۷ ماه
1059,AZN2ab_8,۱۳۸٬۰۰۰,۱۳۹۵,خاکستری,۲۸۰٬۰۰۰٬۰۰۰ تومان,سالم,رنگ‌شدگی,,۶ ماه
1060,AZN2j3Xg,۴۸٬۰۰۰,۱۳۹۹,سفید,۴۲۰٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۱۲ ماه
1061,AZN2nU4N,۴۵٬۰۰۰,۱۳۹۹,سفید,۴۰۵٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۹ ماه
1062,AZN2q3eQ,۷۰٬۰۰۰,۱۳۹۸,مشکی,۳۷۰٬۰۰۰٬۰۰۰ تومان,سالم,رنگ‌شدگی,سالم و پلمپ,۶ ماه
1063,AZN2sSZH,۲۳٬۰۰۰,۱۳۹۷,سفید,۴۳۰٬۰۰۰٬۰۰۰ تومان,سالم,خط و خش جزیی,سالم و پلمپ,۸ ماه
1064,AZN2syCR,۲۵۷٬۰۰۰,۱۳۸۴,نقره‌ای,۲۰۰٬۰۰۰٬۰۰۰ تومان,سالم,دوررنگ,,۱۱ ماه
1065,AZN68333,۱۶۳٬۰۰۰,۱۳۹۷,خاکستری,۳۶۰٬۰۰۰٬۰۰۰ تومان,سالم,رنگ‌شدگی,سالم و پلمپ,۳ ماه
1066,AZN6Kbr4,۲۰۰٬۰۰۰,۱۳۹۴,سفید,۳۰۸٬۰۰۰٬۰۰۰ تومان,سالم,دوررنگ,سالم و پلمپ,۴ ماه
1067,AZN6MN5B,۱۵۵٬۰۰۰,۱۳۸۳,یشمی,۲۴۸٬۰۰۰٬۰۰۰ تومان,سالم,رنگ‌شدگی,سالم و پلمپ,۹ ماه
1068,AZN6PKPu,۱۱۰٬۰۰۰,۱۳۹۸,سفید,۴۲۰٬۰۰۰٬۰۰۰ تومان,سالم,رنگ‌شدگی,سالم و پلمپ,۶ ماه
1069,AZN6YJm4,۲۱٬۰۰۰,۱۴۰۰,سفید,۴۶۰٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۳ ماه
1070,AZN6eHZS,۲۸۰٬۰۰۰,۱۳۹۶,سفید,۳۰۵٬۰۰۰٬۰۰۰ تومان,سالم,رنگ‌شدگی,سالم و پلمپ,
1071,AZN6pigO,۳۶۰٬۰۰۰,۱۳۸۶,نوک‌مدادی,۲۴۵٬۰۰۰٬۰۰۰ تومان,سالم,رنگ‌شدگی,سالم و پلمپ,۲ ماه
1072,AZN6rHua,۱۸۸٬۰۰۰,۱۳۹۴,سفید,۳۴۰٬۰۰۰٬۰۰۰ تومان,سالم,رنگ‌شدگی,سالم و پلمپ,۴ ماه
1073,AZNC6sx0,۲۸۰٬۰۰۰,۱۳۸۸,سفید,۲۳۵٬۰۰۰٬۰۰۰ تومان,سالم,رنگ‌شدگی,,۱ ماه
1074,AZNC9BLS,۱۶۰٬۰۰۰,۱۳۹۳,سفید,۳۶۵٬۰۰۰٬۰۰۰ تومان,سالم,خط و خش جزیی,سالم و پلمپ,۱۲ ماه
1075,AZNCK9wI,۴۰۰٬۰۰۰,۱۳۸۲,سفید صدفی,۲۰۰٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۱۲ ماه
1076,AZNCKI7D,۱۰۵٬۰۰۰,۱۳۹۵,سفید,۳۷۰٬۰۰۰٬۰۰۰ تومان,سالم,خط و خش جزیی,سالم و پلمپ,۴ ماه
1077,AZNCKPKh,۱۸۰٬۰۰۰,۱۳۹۰,سفید,۲۵۵٬۰۰۰٬۰۰۰ تومان,سالم,رنگ‌شدگی,سالم و پلمپ,۱۰ ماه
1078,AZNCP3hV,۴۰۰٬۰۰۰,۱۳۸۲,نقره‌ای,۱۱۰٬۰۰۰٬۰۰۰ تومان,سالم,دوررنگ,سالم و پلمپ,۶ ماه
1079,AZNCkbbF,۱۲۲٬۰۰۰,۱۳۹۸,سفید,۴۱۵٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۱۲ ماه
1080,AZNCmo6E,۲۴۳٬۰۰۰,۱۳۸۸,خاکستری,۲۲۵٬۰۰۰٬۰۰۰ تومان,سالم,رنگ‌شدگی,سالم و پلمپ,۹ ماه
1081,AZNCq9ts,۲۷۰٬۰۰۰,۱۳۸۳,خاکستری,۲۰۵٬۰۰۰٬۰۰۰ تومان,سالم,دوررنگ,سالم و پلمپ,۱۱ ماه
1082,AZNG9dwW,۲۲۰٬۰۰۰,۱۳۸۹,سفید,۲۹۰٬۰۰۰٬۰۰۰ تومان,سالم,دوررنگ,سالم و پلمپ,۹ ماه
1083,AZNGWMl6,۱۶۹٬۰۰۰,۱۳۸۸,نوک‌مدادی,۲۷۰٬۰۰۰٬۰۰۰ تومان,سالم,خط و خش جزیی,سالم و پلمپ,
1084,AZNGZsKf,۳۰٬۰۰۰,۱۴۰۰,سفید,۴۵۰٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۱۲ ماه
1085,AZNGcx2r,۱۲۰٬۰۰۰,۱۳۹۴,سفید,۳۵۵٬۰۰۰٬۰۰۰ تومان,سالم,خط و خش جزیی,,۶ ماه
1086,AZNGo_6B,۱۱۸٬۰۰۰,۱۳۹۶,سفید,۳۵۸٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۶ ماه
1087,AZNGpEBC,۹۹٬۰۰۰,۱۳۹۶,قرمز,۳۸۵٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۸ ماه
1088,AZNGpdGZ,۲۲۳٬۰۰۰,۱۳۸۹,سفید,۳۰۰٬۰۰۰٬۰۰۰ تومان,سالم,خط و خش جزیی,سالم و پلمپ,۷ ماه
1089,AZNK-w2B,۳۵۰٬۰۰۰,۱۳۸۳,نقره‌ای,۲۳۵٬۰۰۰٬۰۰۰ تومان,سالم,خط و خش جزیی,سالم و پلمپ,۶ ماه
1090,AZNK1EIt,۳۸۰٬۰۰۰,۱۳۸۴,نوک‌مدادی,۲۰۵٬۰۰۰٬۰۰۰ تومان,سالم,دوررنگ,سالم و پلمپ,۲ ماه
1091,AZNK72G0,۱۰۱٬۰۰۰,۱۳۹۶,سفید,۳۵۰٬۰۰۰٬۰۰۰ تومان,سالم,رنگ‌شدگی، در ۲ ناحیه,سالم و پلمپ,۹ ماه
1092,AZNKEueM,۳۸۵٬۰۰۰,۱۳۸۸,خاکستری,۲۳۸٬۰۰۰٬۰۰۰ تومان,سالم,رنگ‌شدگی,سالم و پلمپ,۹ ماه
1093,AZNKNaBC,۲۳۰٬۰۰۰,۱۳۹۰,سفید,۲۷۰٬۰۰۰٬۰۰۰ تومان,سالم,خط و خش جزیی,سالم و پلمپ,۹ ماه
1094,AZNKpS1c,۹٬۵۰۰,۱۴۰۱,سفید,۵۰۰٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۶ ماه
1095,AZNKpuZZ,۱۶٬۰۰۰,۱۴۰۱,سفید,۵۰۵٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۱ ماه
1096,AZNOGZT-,۳۱۰٬۰۰۰,۱۳۸۹,خاکستری,۲۸۵٬۰۰۰٬۰۰۰ تومان,سالم,خط و خش جزیی,سالم و پلمپ,۱۲ ماه
1097,AZNOI8VT,۳۴۷٬۰۰۰,۱۳۸۶,نقره‌ای,۲۵۰٬۰۰۰٬۰۰۰ تومان,سالم,دوررنگ,سالم و پلمپ,۱۲ ماه
1098,AZNOP8_5,۲۵٬۵۰۰,۱۳۹۹,سفید,۴۴۰٬۰۰۰٬۰۰۰ تومان,سالم,رنگ‌شدگی,سالم و پلمپ,۸ ماه
1099,AZNOb4qN,۲۹۴٬۰۰۰,۱۳۸۴,نوک‌مدادی,۲۰۰٬۰۰۰٬۰۰۰ تومان,سالم,دوررنگ,سالم و پلمپ,۱۱ ماه
1100,AZNOnMGf,۶۹٬۰۰۰,۱۳۹۵,سفید,۳۸۰٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۶ ماه
1101,AZNOucqN,۱۹۰٬۰۰۰,۱۳۸۲,نقره‌ای,۱۸۰٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۶ ماه
1102,AZNRRhbD,۰,۱۴۰۱,سفید,۱۱۱٬۱۱۱٬۱۱۱ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,
1103,AZNS8GNj,۱۵۸٬۰۰۰,۱۳۹۶,سفید,۳۶۵٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۱۰ ماه
1104,AZNSTcA_,۱۴۸٬۰۰۰,۱۳۸۴,بژ,۲۶۵٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۱۲ ماه
1105,AZNS_vUc,۴۵۰٬۰۰۰,۱۳۸۳,نقره‌ای,۱۹۰٬۰۰۰٬۰۰۰ تومان,سالم,دوررنگ,سالم و پلمپ,۱ ماه
1106,AZNSdKTM,۲۶۸٬۰۰۰,۱۳۸۸,سفید,۲۶۶٬۰۰۰٬۰۰۰ تومان,سالم,رنگ‌شدگی,سالم و پلمپ,۱ ماه
1107,AZNW8W7b,۸۳٬۰۰۰,۱۳۹۶,سفید,۳۴۳٬۰۰۰٬۰۰۰ تومان,سالم,رنگ‌شدگی,سالم و پلمپ,۱۲ ماه
1108,AZNWGNXA,۳۹٬۰۰۰,۱۳۹۹,خاکستری,۴۲۵٬۰۰۰٬۰۰۰ تومان,سالم,رنگ‌شدگی,سالم و پلمپ,۲ ماه
1109,AZNWWw_H,۵۴٬۰۰۰,۱۳۹۹,سفید,۴۱۴٬۰۰۰٬۰۰۰ تومان,سالم,خط و خش جزیی,سالم و پلمپ,۴ ماه
1110,AZNWYSVV,۷۰٬۰۰۰,۱۳۹۷,سفید,۳۳۰٬۰۰۰٬۰۰۰ تومان,سالم,دوررنگ,سالم و پلمپ,۱۰ ماه
1111,AZNWm31E,۱۹۳٬۰۰۰,۱۳۸۸,خاکستری,۲۶۳٬۰۰۰٬۰۰۰ تومان,سالم,رنگ‌شدگی,سالم و پلمپ,۴ ماه
1112,AZNa2URj,۴۵۰٬۰۰۰,۱۳۸۱,مشکی,۱۸۰٬۰۰۰٬۰۰۰ تومان,سالم,تمام‌رنگ,سالم و پلمپ,۱۱ ماه
1113,AZNaAIAF,۲۲۸٬۰۰۰,۱۳۸۵,سفید,۲۵۵٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۱۲ ماه
1114,AZNaGQj2,۴۴۴٬۰۰۰,۱۳۸۴,نقره‌ای,۲۲۰٬۰۰۰٬۰۰۰ تومان,سالم,دوررنگ,سالم و پلمپ,۳ ماه
1115,AZNaHvJ6,۳۱٬۰۰۰,۱۳۹۹,سفید,۴۴۵٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۹ ماه
1116,AZNaJ5NN,۱۰۱٬۰۰۰,۱۳۸۹,نوک‌مدادی,۲۵۰٬۰۰۰٬۰۰۰ تومان,سالم,رنگ‌شدگی,سالم و پلمپ,۹ ماه
1117,AZNacREz,۱۳۱٬۰۰۰,۱۳۸۹,نوک‌مدادی,۲۵۱٬۰۰۰٬۰۰۰ تومان,سالم,خط و خش جزیی,سالم و پلمپ,۵ ماه
1118,AZNalZ-V,۱۳۰٬۰۰۰,۱۳۸۴,نقره‌ای,۲۷۰٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۱۰ ماه
1119,AZNaoh33,۲۰۰٬۰۰۰,۱۳۸۹,سفید,۳۱۰٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۶ ماه
1120,AZNau1pU,۴۲٬۰۰۰,۱۴۰۰,سفید,۴۳۰٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۶ ماه
1121,AZNe3O-l,۲۸۰٬۰۰۰,۱۳۸۱,یشمی,۱۸۵٬۰۰۰٬۰۰۰ تومان,سالم,خط و خش جزیی,سالم و پلمپ,۴ ماه
1122,AZNe4Exp,۶۰٬۰۰۰,۱۳۹۹,سفید,۴۲۰٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۱۰ ماه
1123,AZNeIpq5,۱۱٬۷۰۰,۱۳۹۷,سفید,۴۲۰٬۰۰۰٬۰۰۰ تومان,سالم,صافکاری بی‌رنگ,سالم و پلمپ,۱ ماه
1124,AZNeMJvw,۸۴٬۴۵۰,۱۳۹۶,سفید,۳۷۲٬۰۰۰٬۰۰۰ تومان,سالم,رنگ‌شدگی,سالم و پلمپ,۴ ماه
1125,AZNeWZqg,۴۵۰٬۰۰۰,۱۳۸۱,مشکی,۱۸۰٬۰۰۰٬۰۰۰ تومان,سالم,تمام‌رنگ,سالم و پلمپ,۱۱ ماه
1126,AZNe_St_,۲۳۹٬۰۰۰,۱۳۸۴,بژ,۲۱۰٬۰۰۰٬۰۰۰ تومان,سالم,دوررنگ,سالم و پلمپ,۵ ماه
1127,AZNeagt1,۱۵۰٬۰۰۰,۱۳۹۶,سفید,۳۷۰٬۰۰۰٬۰۰۰ تومان,سالم,صافکاری بی‌رنگ,سالم و پلمپ,۴ ماه
1128,AZNemj-p,۴۳٬۰۰۰,۱۴۰۰,سفید,۴۰۰٬۰۰۰٬۰۰۰ تومان,سالم,خط و خش جزیی,سالم و پلمپ,۱۱ ماه
1129,AZNeoC-u,۱۵۹٬۰۰۰,۱۳۹۶,سفید,۳۳۵٬۰۰۰٬۰۰۰ تومان,سالم,خط و خش جزیی,سالم و پلمپ,۴ ماه
1130,AZNeowMX,۲۲۰٬۰۰۰,۱۳۹۰,سفید,۳۰۰٬۰۰۰٬۰۰۰ تومان,سالم,خط و خش جزیی,سالم و پلمپ,۸ ماه
1131,AZNeqM3I,۱۰۵٬۰۰۰,۱۳۹۷,نوک‌مدادی,۳۵۰٬۰۰۰٬۰۰۰ تومان,سالم,رنگ‌شدگی,سالم و پلمپ,۱۲ ماه
1132,AZNi7S7l,۳۶۰٬۰۰۰,۱۳۸۲,نقره‌ای,۲۰۰٬۰۰۰٬۰۰۰ تومان,سالم,رنگ‌شدگی,سالم و پلمپ,۱۰ ماه
1133,AZNiLqdO,۴۶۸٬۰۰۰,۱۳۸۶,نقره‌ای,۱۷۵٬۰۰۰٬۰۰۰ تومان,سالم,دوررنگ,سالم و پلمپ,۱۲ ماه
1134,AZNiVx3H,۷۰٬۰۰۰,۱۳۹۴,سفید,۱۵۷٬۰۰۰٬۰۰۰ تومان,سالم,تصادفی,سالم و پلمپ,۹ ماه
1135,AZNiaYU6,۱۶۰٬۰۰۰,۱۳۹۶,گیلاسی,۲۵۰٬۰۰۰٬۰۰۰ تومان,سالم,خط و خش جزیی,سالم و پلمپ,۳ ماه
1136,AZNidvjc,۵۵٬۰۰۰,۱۳۹۹,سفید,۴۲۰٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۱ ماه
1137,AZNirMEZ,۳۸۴٬۰۰۰,۱۳۸۶,خاکستری,۲۲۰٬۰۰۰٬۰۰۰ تومان,سالم,رنگ‌شدگی,سالم و پلمپ,۶ ماه
1138,AZNm45oP,۱۱۵٬۵۰۰,۱۳۹۵,سفید,۳۹۵٬۰۰۰٬۰۰۰ تومان,سالم,خط و خش جزیی,سالم و پلمپ,۵ ماه
1139,AZNm8AAp,۲۲۰٬۰۰۰,۱۳۹۱,سفید,۳۱۵٬۰۰۰٬۰۰۰ تومان,سالم,رنگ‌شدگی، در ۱ ناحیه,سالم و پلمپ,۸ ماه
1140,AZNmJ9hM,۱۳۸٬۰۰۰,۱۳۸۹,خاکستری,۲۹۵٬۰۰۰٬۰۰۰ تومان,سالم,خط و خش جزیی,سالم و پلمپ,۸ ماه
1141,AZNmW_dm,۲۰۰٬۰۰۰,۱۳۸۹,سفید,۲۶۵٬۰۰۰٬۰۰۰ تومان,سالم,دوررنگ,سالم و پلمپ,۶ ماه
1142,AZNq8-XJ,۰,۱۴۰۱,سفید,۵۱۰٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۱۲ ماه
1143,AZNqIxXX,۲۲۰٬۰۰۰,۱۳۸۲,بژ,۱۶۰٬۰۰۰٬۰۰۰ تومان,سالم,رنگ‌شدگی,سالم و پلمپ,۱۰ ماه
1144,AZNqYMVz,۲۱۸٬۰۰۰,۱۳۸۶,خاکستری,۲۱۰٬۰۰۰٬۰۰۰ تومان,سالم,تمام‌رنگ,سالم و پلمپ,۸ ماه
1145,AZNqpuWp,۲۵۰٬۰۰۰,۱۳۸۳,نقره‌ای,۲۰۰٬۰۰۰٬۰۰۰ تومان,,رنگ‌شدگی,سالم و پلمپ,
1146,AZNu8_C_,۲۴۵٬۰۰۰,۱۳۸۲,بژ,۱۶۸٬۵۰۰٬۰۰۰ تومان,سالم,تمام‌رنگ,سالم و پلمپ,۳ ماه
1147,AZNuIc0S,۵۵٬۰۰۰,۱۳۹۹,سفید,۴۳۰٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۹ ماه
1148,AZNuO94_,۶۲٬۰۰۰,۱۳۹۸,خاکستری,۴۲۵٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۹ ماه
1149,AZNuXaEk,۱۰۳٬۰۰۰,۱۳۹۶,سفید,۳۷۰٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۵ ماه
1150,AZNucIQE,۲۲۹٬۰۰۰,۱۳۸۶,نقره‌ای,۲۳۵٬۰۰۰٬۰۰۰ تومان,سالم,رنگ‌شدگی,سالم و پلمپ,۵ ماه
1151,AZNuem8D,۲۸۰٬۰۰۰,۱۳۸۹,سفید,۲۷۵٬۰۰۰٬۰۰۰ تومان,سالم,رنگ‌شدگی,سالم و پلمپ,۸ ماه
1152,AZNulLg1,۴۵۰٬۰۰۰,۱۳۸۲,بژ,۱۸۰٬۰۰۰٬۰۰۰ تومان,سالم,دوررنگ,سالم و پلمپ,۱۲ ماه
1153,AZNy2tjy,۱۶۹٬۰۰۰,۱۳۸۸,نوک‌مدادی,۲۷۰٬۰۰۰٬۰۰۰ تومان,سالم,خط و خش جزیی,سالم و پلمپ,۴ ماه
1154,AZNye8AI,۱۸۵٬۰۰۰,۱۳۸۹,سفید,۳۱۰٬۰۰۰٬۰۰۰ تومان,سالم,خط و خش جزیی,سالم و پلمپ,۹ ماه
1155,AZO--5CM,۵۰۰٬۰۰۰,۱۳۸۳,سفید,۱۶۰٬۰۰۰٬۰۰۰ تومان,نیاز به تعمیر,دوررنگ,سالم و پلمپ,۵ ماه
1156,AZO-5z6H,۱۹۱٬۰۰۰,۱۳۹۴,سفید,۳۰۰٬۰۰۰٬۰۰۰ تومان,سالم,تمام‌رنگ,سالم و پلمپ,۶ ماه
